<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
ROSN;0;20140425;100919;224.370000000;100
ROSN;0;20140425;100919;224.360000000;60
ROSN;0;20140425;100919;224.370000000;10
ROSN;0;20140425;100920;224.340000000;20
ROSN;0;20140425;100920;224.340000000;30
ROSN;0;20140425;100920;224.340000000;20
ROSN;0;20140425;100920;224.370000000;90
ROSN;0;20140425;100920;224.370000000;20
ROSN;0;20140425;100920;224.340000000;30
ROSN;0;20140425;100920;224.320000000;130
ROSN;0;20140425;100923;224.320000000;70
ROSN;0;20140425;100923;224.310000000;110
ROSN;0;20140425;100923;224.310000000;300
ROSN;0;20140425;100923;224.310000000;200
ROSN;0;20140425;100923;224.370000000;210
ROSN;0;20140425;100924;224.310000000;70
ROSN;0;20140425;100928;224.310000000;20
ROSN;0;20140425;100928;224.310000000;30
ROSN;0;20140425;100928;224.310000000;190
ROSN;0;20140425;100928;224.310000000;100
ROSN;0;20140425;100928;224.310000000;200
ROSN;0;20140425;100928;224.370000000;100
ROSN;0;20140425;100928;224.310000000;300
ROSN;0;20140425;100928;224.310000000;100
ROSN;0;20140425;100928;224.370000000;150
ROSN;0;20140425;100929;224.310000000;60
ROSN;0;20140425;100930;224.310000000;70
ROSN;0;20140425;100931;224.310000000;100
ROSN;0;20140425;100931;224.310000000;100
ROSN;0;20140425;100931;224.310000000;100
ROSN;0;20140425;100931;224.370000000;40
ROSN;0;20140425;100931;224.310000000;200
ROSN;0;20140425;100931;224.440000000;120
ROSN;0;20140425;100935;224.310000000;130
ROSN;0;20140425;100948;224.320000000;10
ROSN;0;20140425;100955;224.320000000;10
ROSN;0;20140425;100955;224.310000000;40
ROSN;0;20140425;101037;224.420000000;10
ROSN;0;20140425;101037;224.420000000;10
ROSN;0;20140425;101037;224.420000000;20
ROSN;0;20140425;101037;224.420000000;20
ROSN;0;20140425;101038;224.500000000;10
ROSN;0;20140425;101050;224.500000000;10
ROSN;0;20140425;101100;224.500000000;910
ROSN;0;20140425;101100;224.510000000;2590
ROSN;0;20140425;101100;224.600000000;10
ROSN;0;20140425;101100;224.600000000;490
ROSN;0;20140425;101100;224.610000000;440
ROSN;0;20140425;101132;224.560000000;200
ROSN;0;20140425;101132;224.520000000;1990
ROSN;0;20140425;101132;224.610000000;500
ROSN;0;20140425;101200;224.610000000;40
ROSN;0;20140425;101200;224.610000000;50
ROSN;0;20140425;101202;224.610000000;50
ROSN;0;20140425;101202;224.610000000;60
ROSN;0;20140425;101202;224.630000000;100
ROSN;0;20140425;101223;224.640000000;100
ROSN;0;20140425;101223;224.640000000;10
ROSN;0;20140425;101225;224.640000000;30
ROSN;0;20140425;101225;224.640000000;100
ROSN;0;20140425;101225;224.640000000;160
ROSN;0;20140425;101225;224.650000000;100
ROSN;0;20140425;101227;224.650000000;30
ROSN;0;20140425;101227;224.650000000;30
ROSN;0;20140425;101227;224.650000000;270
ROSN;0;20140425;101227;224.650000000;50
ROSN;0;20140425;101227;224.650000000;100
ROSN;0;20140425;101227;224.650000000;80
ROSN;0;20140425;101227;224.650000000;50
ROSN;0;20140425;101227;224.650000000;60
ROSN;0;20140425;101230;224.610000000;40
ROSN;0;20140425;101234;224.610000000;50
ROSN;0;20140425;101301;224.650000000;570
ROSN;0;20140425;101301;224.650000000;2430
ROSN;0;20140425;101301;224.650000000;20
ROSN;0;20140425;101301;224.650000000;150
ROSN;0;20140425;101301;224.650000000;100
ROSN;0;20140425;101301;224.650000000;200
ROSN;0;20140425;101301;224.650000000;50
ROSN;0;20140425;101301;224.650000000;150
ROSN;0;20140425;101301;224.650000000;100
ROSN;0;20140425;101301;224.650000000;70
ROSN;0;20140425;101305;224.650000000;100
ROSN;0;20140425;101305;224.650000000;30
ROSN;0;20140425;101305;224.650000000;100
ROSN;0;20140425;101305;224.650000000;860
ROSN;0;20140425;101305;224.650000000;270
ROSN;0;20140425;101323;224.640000000;50
ROSN;0;20140425;101330;224.610000000;150
ROSN;0;20140425;101330;224.600000000;2850
ROSN;0;20140425;101330;224.600000000;60
ROSN;0;20140425;101330;224.600000000;20
ROSN;0;20140425;101330;224.600000000;70
ROSN;0;20140425;101330;224.640000000;500
ROSN;0;20140425;101331;224.640000000;300
ROSN;0;20140425;101356;224.630000000;100
ROSN;0;20140425;101356;224.640000000;50
ROSN;0;20140425;101411;224.640000000;10
ROSN;0;20140425;101440;224.530000000;200
ROSN;0;20140425;101440;224.640000000;50
ROSN;0;20140425;101440;224.640000000;110
ROSN;0;20140425;101502;224.530000000;60
ROSN;0;20140425;101502;224.520000000;10
ROSN;0;20140425;101502;224.520000000;10
ROSN;0;20140425;101502;224.450000000;720
ROSN;0;20140425;101502;224.590000000;200
ROSN;0;20140425;101505;224.590000000;500
ROSN;0;20140425;101505;224.590000000;10
ROSN;0;20140425;101505;224.590000000;20
ROSN;0;20140425;101505;224.590000000;30
ROSN;0;20140425;101505;224.590000000;60
ROSN;0;20140425;101533;224.630000000;10
ROSN;0;20140425;101533;224.640000000;90
ROSN;0;20140425;101534;224.640000000;20
ROSN;0;20140425;101534;224.640000000;20
ROSN;0;20140425;101621;224.520000000;120
ROSN;0;20140425;101621;224.520000000;500
ROSN;0;20140425;101621;224.590000000;190
ROSN;0;20140425;101625;224.590000000;200
ROSN;0;20140425;101636;224.590000000;160
ROSN;0;20140425;101643;224.590000000;10
ROSN;0;20140425;101648;224.590000000;10
ROSN;0;20140425;101648;224.590000000;40
ROSN;0;20140425;101659;224.520000000;300
ROSN;0;20140425;101659;224.590000000;130
ROSN;0;20140425;101704;224.520000000;10
ROSN;0;20140425;101706;224.520000000;10
ROSN;0;20140425;101706;224.520000000;80
ROSN;0;20140425;101706;224.520000000;20
ROSN;0;20140425;101706;224.500000000;30
ROSN;0;20140425;101707;224.500000000;30
ROSN;0;20140425;101707;224.500000000;20
ROSN;0;20140425;101708;224.500000000;20
ROSN;0;20140425;101708;224.500000000;10
ROSN;0;20140425;101708;224.500000000;10
ROSN;0;20140425;101708;224.500000000;10
ROSN;0;20140425;101709;224.500000000;10
ROSN;0;20140425;101714;224.500000000;20
ROSN;0;20140425;101714;224.500000000;10
ROSN;0;20140425;101715;224.500000000;20
ROSN;0;20140425;101715;224.500000000;10
ROSN;0;20140425;101715;224.500000000;10
ROSN;0;20140425;101715;224.500000000;10
ROSN;0;20140425;101715;224.500000000;170
ROSN;0;20140425;101715;224.500000000;120
ROSN;0;20140425;101715;224.500000000;80
ROSN;0;20140425;101715;224.500000000;40
ROSN;0;20140425;101715;224.500000000;40
ROSN;0;20140425;101715;224.500000000;70
ROSN;0;20140425;101715;224.590000000;170
ROSN;0;20140425;101715;224.590000000;50
ROSN;0;20140425;101715;224.510000000;90
ROSN;0;20140425;101715;224.500000000;20
ROSN;0;20140425;101715;224.500000000;50
ROSN;0;20140425;101715;224.500000000;70
ROSN;0;20140425;101715;224.500000000;10
ROSN;0;20140425;101715;224.500000000;30
ROSN;0;20140425;101715;224.500000000;60
ROSN;0;20140425;101715;224.500000000;20
ROSN;0;20140425;101726;224.540000000;10
ROSN;0;20140425;101726;224.550000000;20
ROSN;0;20140425;101758;224.500000000;30
ROSN;0;20140425;101758;224.500000000;100
ROSN;0;20140425;101800;224.370000000;910
ROSN;0;20140425;101800;224.360000000;1090
ROSN;0;20140425;101800;224.470000000;120
ROSN;0;20140425;101800;224.490000000;10
ROSN;0;20140425;101800;224.470000000;380
ROSN;0;20140425;101800;224.490000000;10
ROSN;0;20140425;101802;224.520000000;10
ROSN;0;20140425;101802;224.520000000;10
ROSN;0;20140425;101807;224.450000000;10
ROSN;0;20140425;101807;224.440000000;1990
ROSN;0;20140425;101807;224.550000000;500
ROSN;0;20140425;101810;224.360000000;120
ROSN;0;20140425;101810;224.350000000;100
ROSN;0;20140425;101810;224.350000000;10
ROSN;0;20140425;101810;224.320000000;490
ROSN;0;20140425;101810;224.310000000;190
ROSN;0;20140425;101810;224.420000000;120
ROSN;0;20140425;101810;224.420000000;120
ROSN;0;20140425;101811;224.360000000;20
ROSN;0;20140425;101813;224.320000000;10
ROSN;0;20140425;101813;224.310000000;310
ROSN;0;20140425;101813;224.300000000;10
ROSN;0;20140425;101813;224.300000000;1670
ROSN;0;20140425;101813;224.430000000;500
ROSN;0;20140425;101813;224.430000000;70
ROSN;0;20140425;101815;224.310000000;10
ROSN;0;20140425;101815;224.310000000;10
ROSN;0;20140425;101815;224.310000000;130
ROSN;0;20140425;101815;224.310000000;60
ROSN;0;20140425;101815;224.310000000;50
ROSN;0;20140425;101815;224.310000000;70
ROSN;0;20140425;101815;224.430000000;100
ROSN;0;20140425;101815;224.310000000;10
ROSN;0;20140425;101815;224.310000000;110
ROSN;0;20140425;101815;224.310000000;50
ROSN;0;20140425;101815;224.310000000;30
